file_name,day,hour,balanced_accuracy,std,f1_weighted,std
linear,2020-07-14,21:21:17,0.7216666666666666,0.07557189365836423,0.716063646498429,0.07892011417491965
sigmoid,2020-07-14,21:26:36,0.6416666666666666,0.09354143466934853,0.6419035358682686,0.09338521728854847
ramdomForest,2020-07-16,21:53:39,0.7083333333333334,0.09006170724070861,0.71301362761317,0.09265464161262978
rbf,2020-07-14,21:30:51,0.5900000000000001,0.09330356668185602,0.5886412536028904,0.0928480720047893
poly,2020-07-14,21:28:22,0.7550000000000001,0.06510674994874871,0.7582694446338275,0.06470965251794789
